******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-19_11-00-31 || Version: 2


------------------------------------------- NOTES -------------------------------------------
Rewards for valid steps, only

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 3000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000065


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1575000 to 1600000
Rewards: 11.00 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1600000 to 1625000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1625000 to 1650000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1650000 to 1675000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1675000 to 1700000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1700000 to 1725000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1725000 to 1750000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1750000 to 1775000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1775000 to 1800000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1800000 to 1825000
